"1","Avon and Somerset","6"
"2","Bedfordshire, Essex and Hertfordshire","5"
"3","Birmingham, Coventry, Solihull and Warwickshire","2"
"4","Black Country, Staffordshire and West Mercia","2"
"5","Cambridgeshire, Norfolk and Suffolk","5"
"6","Cheshire and Merseyside","4"
"7","Cleveland, Durham and Northumberland","3"
"8","Cumbria and Lancashire","4"
"9","Derbyshire and Nottinghamshire","2"
"10","Devon and Cornwall","6"
"11","Dorset, Gloucestershire and Wiltshire","6"
"12","Greater Manchester","4"
"13","Hampshire and Isle of Wight","6"
"14","Humber and South Yorkshire","3"
"15","Kent","5"
"16","Lincolnshire, Leicestershire, Rutland and Northamptonshire","2"
"17","London Central and South (Crime)","1"
"18","London Civil and Family","1"
"19","London North and West (Crime)","1"
"20","Mid and West Wales","7"
"21","North and West Yorkshire","3"
"22","North Wales","7"
"23","South East Wales","7"
"24","Surrey and Sussex","5"
"25","Thames Valley","5"
"26","Royal Courts of Justice","1"
"27","Enforcement Director","1"
