"court_opening_type_id","court_opening_type_desc"
"1","Court building open"
"2","Court building closed"
"3","Court counter open"
"4","Court counter closed"
"5","Bailiff counter open"
"6","Bailiff counter closed"
"7","Court enquiries open"
"8","Court enquiries closed"
"9","Accounts Office open"
"10","Accounts Office closed"
"11","Court Office open"
"12","Court Office closed"
"13","Telephone Enquiries from"
"14","Telephone Enquiries until"
"15","Crown Office opens"
"16","Crown Office closes"
"17","County Court open"
"18","County Court closed"
"19","Magistrates' Court open"
"20","Magistrates' Court closed"
"21","Enquiry Office open"
"22","Enquiry Office closed"
"23","Bailiffs Office"
"24","County Court enquiries counter"
"25","Telephone Payments open"
"26","Telephone Payments closed"
"27","Telephone Payments and enquiries"
"28","Telephones"
"29","Customer Service Desk"
"30","Family counter open"
"31","Family counter closed"
"32","Civil counter open"
"33","Civil counter closed"
"34","Bailiff telephone service"
"35","Court Telephone service"
"36","Payments counter open"
"37","Payments counter closed"
"38","Bankruptcy debtor's petition only"
